url,component,id,complete URL
es/articles/kcs_article/email-tracking/sending-test-emails-to-yourself,Email,3652062197,http://sales.hubspot.com/es/articles/kcs_article/email-tracking/sending-test-emails-to-yourself
es/articles/kcs_article/account/how-to-cancel-hubspot-sales,Account,3590558164,http://sales.hubspot.com/es/articles/kcs_article/account/how-to-cancel-hubspot-sales
es/articles/kcs_article/account/how-to-upgrade-to-hubspot-sales-pro,Account,3590528189,http://sales.hubspot.com/es/articles/kcs_article/account/how-to-upgrade-to-hubspot-sales-pro
es/articles/kcs_article/account/is-the-paid-version-of-sidekick-included-in-the-hubspot-marketing-product,Account,3590558339,http://sales.hubspot.com/es/articles/kcs_article/account/is-the-paid-version-of-sidekick-included-in-the-hubspot-marketing-product
es/articles/kcs_article/account/billing-and-payment-faqs,Account,3590558269,http://sales.hubspot.com/es/articles/kcs_article/account/billing-and-payment-faqs
es/articles/kcs_article/account/free-vs-premium-accounts,Account,3590558309,http://sales.hubspot.com/es/articles/kcs_article/account/free-vs-premium-accounts
es/articles/kcs_article/account/how-to-create-a-team-account,Account,3652076992,http://sales.hubspot.com/es/articles/kcs_article/account/how-to-create-a-team-account
es/articles/kcs_article/account/how-to-read-your-hubspot-sales-invoice,Account,3590558374,http://sales.hubspot.com/es/articles/kcs_article/account/how-to-read-your-hubspot-sales-invoice
es/articles/kcs_article/calling/do-i-need-to-include-country-code-when-calling-from-the-crm,Calling,3590537334,http://sales.hubspot.com/es/articles/kcs_article/calling/do-i-need-to-include-country-code-when-calling-from-the-crm
es/articles/kcs_article/settings/contact-profiles-in-gmail-do-not-appear,Settings,3651688233,http://sales.hubspot.com/es/articles/kcs_article/settings/contact-profiles-in-gmail-do-not-appear
es/articles/kcs_article/settings/contact-profiles-on-the-web-does-not-appear,Settings,3651739298,http://sales.hubspot.com/es/articles/kcs_article/settings/contact-profiles-on-the-web-does-not-appear
es/articles/kcs_article/settings/how-do-i-change-my-profile-picture,Settings,3652079742,http://sales.hubspot.com/es/articles/kcs_article/settings/how-do-i-change-my-profile-picture
es/articles/kcs_article/integrations/how-do-i-use-sidekick-contact-profiles-in-gmail,Integrations,3625458821,http://sales.hubspot.com/es/articles/kcs_article/integrations/how-do-i-use-sidekick-contact-profiles-in-gmail
es/articles/kcs_article/settings/how-do-i-use-hubspot-sales-contact-profiles-on-the-web,Settings,3652076832,http://sales.hubspot.com/es/articles/kcs_article/settings/how-do-i-use-hubspot-sales-contact-profiles-on-the-web
es/articles/kcs_article/contacts/a-quick-tour-of-hubspot-crm-and-hubspot-sales,Contacts,3795527740,http://sales.hubspot.com/es/articles/kcs_article/contacts/a-quick-tour-of-hubspot-crm-and-hubspot-sales
es/articles/kcs_article/calling/can-i-add-a-phone-number-property-such-as-mobile-phone-to-use-when-calling,Calling,3795277245,http://sales.hubspot.com/es/articles/kcs_article/calling/can-i-add-a-phone-number-property-such-as-mobile-phone-to-use-when-calling
es/articles/kcs_article/calling/can-i-add-a-second-phone-number-for-calling,Calling,3795277220,http://sales.hubspot.com/es/articles/kcs_article/calling/can-i-add-a-second-phone-number-for-calling
